DATEEFFECTIVE,INTERSECTIONDESC,CLASSIFICATION,CLASSIFICATIONDESC,geometry,MODGEOMETRY
2008-12-12 4:22:46 AM,ROBINDALE AVE / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5310702158, 43.607242585)}"," (-79.5310702158, 43.607242585)"
2008-12-12 4:22:46 AM,BELLMAN AVE / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5313732423, 43.6096000121)}"," (-79.5313732423, 43.6096000121)"
2008-12-12 4:22:46 AM,VALERMO DR / GOA CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5331747278, 43.6091899837)}"," (-79.5331747278, 43.6091899837)"
2008-12-12 4:22:46 AM,VALERMO DR / TREEVIEW DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5344174373, 43.6089049372)}"," (-79.5344174373, 43.6089049372)"
2008-12-12 4:22:46 AM,VALERMO DR / THIRTIETH ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5355925205, 43.6086391703)}"," (-79.5355925205, 43.6086391703)"
2008-12-12 4:22:46 AM,VALERMO DR / DELTA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5380199282, 43.6081028218)}"," (-79.5380199282, 43.6081028218)"
2008-12-12 4:22:46 AM,VALERMO DR / GAMMA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5391889131, 43.6078419978)}"," (-79.5391889131, 43.6078419978)"
2008-12-12 4:22:46 AM,VALERMO DR / BETA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5403715794, 43.6075671957)}"," (-79.5403715794, 43.6075671957)"
2008-12-12 4:22:46 AM,LANOR AVE / DELTA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5388854869, 43.6103429767)}"," (-79.5388854869, 43.6103429767)"
2008-12-12 4:22:46 AM,CLOUSTON AVE / MONKLANDS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5075710384, 43.6944301524)}"," (-79.5075710384, 43.6944301524)"
2008-12-12 4:22:46 AM,WESTON RD / LIPPINCOTT ST E / LIPPINCOTT ST W,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5072952146, 43.6954756523)}"," (-79.5072952146, 43.6954756523)"
2008-12-12 4:22:46 AM,FORDHOUSE BLVD / ALGIE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.535987473, 43.6163873079)}"," (-79.535987473, 43.6163873079)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ALGIE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5370265369, 43.6186903927)}"," (-79.5370265369, 43.6186903927)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ATOMIC AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5408674742, 43.6177404523)}"," (-79.5408674742, 43.6177404523)"
2008-12-12 4:22:46 AM,SHORNCLIFFE RD / NORTH QUEEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5406696758, 43.6224726086)}"," (-79.5406696758, 43.6224726086)"
2008-12-12 4:22:46 AM,VANSCO RD / NORTH QUEEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5358422904, 43.6235597034)}"," (-79.5358422904, 43.6235597034)"
2008-12-12 4:22:46 AM,WICKMAN RD / VANSCO RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.53412622, 43.6197506803)}"," (-79.53412622, 43.6197506803)"
2008-12-12 4:22:46 AM,PLYWOOD PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5300961989, 43.619941787)}"," (-79.5300961989, 43.619941787)"
2008-12-12 4:22:46 AM,PLYWOOD PL / QUEENSWAY LIONS CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5287985739, 43.620093669)}"," (-79.5287985739, 43.620093669)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / PLYWOOD PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5289625316, 43.6204220079)}"," (-79.5289625316, 43.6204220079)"
2008-12-12 4:22:46 AM,KIPLING AVE / WARNICA AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5275505675, 43.6228000515)}"," (-79.5275505675, 43.6228000515)"
2008-12-12 4:22:46 AM,WARNICA AVE / STOCK AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5263036208, 43.6230778585)}"," (-79.5263036208, 43.6230778585)"
2008-12-12 4:22:46 AM,WARNICA AVE / CULNAN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5250396748, 43.6233564118)}"," (-79.5250396748, 43.6233564118)"
2008-12-12 4:22:46 AM,KIPLING AVE / THE QUEENSWAY,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5267419595, 43.6209182475)}"," (-79.5267419595, 43.6209182475)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5262570767, 43.6198805065)}"," (-79.5262570767, 43.6198805065)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C E RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5256555866, 43.6175694677)}"," (-79.5256555866, 43.6175694677)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C E RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5256555866, 43.6175694677)}"," (-79.5256555866, 43.6175694677)"
2008-12-12 4:22:46 AM,GARDINER XWY / KIPLING AVE / KIPLING N GARDINER C W RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5258259741, 43.6181839288)}"," (-79.5258259741, 43.6181839288)"
2008-12-12 4:22:46 AM,GARDINER XWY / KIPLING AVE / KIPLING N GARDINER C W RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5258259741, 43.6181839288)}"," (-79.5258259741, 43.6181839288)"
2008-12-12 4:22:46 AM,WICKMAN RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5315859255, 43.6195949208)}"," (-79.5315859255, 43.6195949208)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / GIBSON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5070368026, 43.7022789564)}"," (-79.5070368026, 43.7022789564)"
2008-12-12 4:22:46 AM,GIBSON AVE / ELLIS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5066982529, 43.7015584243)}"," (-79.5066982529, 43.7015584243)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5060404634, 43.7025185105)}"," (-79.5060404634, 43.7025185105)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / VIMY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5049897482, 43.7027699939)}"," (-79.5049897482, 43.7027699939)"
2008-12-12 4:22:46 AM,BOYD AVE / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5063494291, 43.7032186852)}"," (-79.5063494291, 43.7032186852)"
2008-12-12 4:22:46 AM,MACDONALD AVE / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5066448996, 43.7038916218)}"," (-79.5066448996, 43.7038916218)"
2008-12-12 4:22:46 AM,MERRILL AVE / WILLIAM ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5072444209, 43.7052296791)}"," (-79.5072444209, 43.7052296791)"
2008-12-12 4:22:46 AM,JANE ST / PATIKA AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5044055499, 43.7051590917)}"," (-79.5044055499, 43.7051590917)"
2008-12-12 4:22:46 AM,JANE ST / MACDONALD AVE / MARSHLYNN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5042489146, 43.7044734075)}"," (-79.5042489146, 43.7044734075)"
2008-12-12 4:22:46 AM,MACDONALD AVE / VIMY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5055946579, 43.7041285647)}"," (-79.5055946579, 43.7041285647)"
2008-12-12 4:22:46 AM,HEARNE AVE / EVERGLADES DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5029155182, 43.7038819124)}"," (-79.5029155182, 43.7038819124)"
2008-12-12 4:22:46 AM,MARSHLYNN AVE / SONNET CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5022730935, 43.7049202422)}"," (-79.5022730935, 43.7049202422)"
2008-12-12 4:22:46 AM,WICKMAN RD / FORDHOUSE BLVD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5306086133, 43.6174286549)}"," (-79.5306086133, 43.6174286549)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S EVANS W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5253132766, 43.616850016)}"," (-79.5253132766, 43.616850016)"
2008-12-12 4:22:46 AM,EVANS AVE / KIPLING S EVANS W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5263826981, 43.615678294)}"," (-79.5263826981, 43.615678294)"
2008-12-12 4:22:46 AM,EVANS AVE / ARNOLD ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5210626693, 43.6164951422)}"," (-79.5210626693, 43.6164951422)"
2008-12-12 4:22:46 AM,HEARNE AVE / MARSHLYNN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.503149121, 43.7046979079)}"," (-79.503149121, 43.7046979079)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / MARTINI DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5019983896, 43.7031863494)}"," (-79.5019983896, 43.7031863494)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / HEARNE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5027075418, 43.7030378587)}"," (-79.5027075418, 43.7030378587)"
2008-12-12 4:22:46 AM,JANE ST / LAWRENCE AVE W,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5038384408, 43.7028780717)}"," (-79.5038384408, 43.7028780717)"
2008-12-12 4:22:46 AM,JANE ST / ELLIS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5036419588, 43.702279088)}"," (-79.5036419588, 43.702279088)"
2008-12-12 4:22:46 AM,JANE ST / SPEERS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5034551893, 43.7015720793)}"," (-79.5034551893, 43.7015720793)"
2008-12-12 4:22:46 AM,THURODALE AVE / TEDDER ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5008770729, 43.7017812009)}"," (-79.5008770729, 43.7017812009)"
2008-12-12 4:22:46 AM,THURODALE AVE / DUCKWORTH ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4995883662, 43.7021029452)}"," (-79.4995883662, 43.7021029452)"
2008-12-12 4:22:46 AM,HORNER N GARDINER C E RAMP / HORNER AVENUE RAMP / GARDINER C E HORNER S RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5193603812, 43.6182451019)}"," (-79.5193603812, 43.6182451019)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / EVANS AVE,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.511328453, 43.6183933351)}"," (-79.511328453, 43.6183933351)"
2008-12-12 4:22:46 AM,OURLAND AVE / MELROSE ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5090150456, 43.6182238193)}"," (-79.5090150456, 43.6182238193)"
2008-12-12 4:22:46 AM,OURLAND AVE / EVANS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5093998923, 43.6190370118)}"," (-79.5093998923, 43.6190370118)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / ISLINGTON N GARDINER C E RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.511565658, 43.618646548)}"," (-79.511565658, 43.618646548)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / GARDINER C E ISLINGTON S RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5121727275, 43.6192372026)}"," (-79.5121727275, 43.6192372026)"
2008-12-12 4:22:46 AM,EVANS AVE / EASTWICK RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5153530003, 43.6177522619)}"," (-79.5153530003, 43.6177522619)"
2008-12-12 4:22:46 AM,EASTWICK RD / OXFORD ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5160235428, 43.6193540251)}"," (-79.5160235428, 43.6193540251)"
2008-12-12 4:22:46 AM,GARDINER XWY / ISLINGTON AVE / ISLINGTON S GARDINER C E RAMP / GARDINER C E ISLINGTON N RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5129145008, 43.6201625292)}"," (-79.5129145008, 43.6201625292)"
2008-12-12 4:22:46 AM,GARDINER XWY / ISLINGTON AVE / ISLINGTON S GARDINER C E RAMP / GARDINER C E ISLINGTON N RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5129145008, 43.6201625292)}"," (-79.5129145008, 43.6201625292)"
2008-12-12 4:22:46 AM,HOMESTEAD RD / SKELDING CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.1796089375, 43.7683650579)}"," (-79.1796089375, 43.7683650579)"
2008-12-21 1:06:55 AM,QUEEN ELIZABETH BLVD / PLASTICS AVE,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5086603411, 43.6217266822)}"," (-79.5086603411, 43.6217266822)"
2008-12-12 4:22:46 AM,QUEEN ELIZABETH BLVD / PLASTICS AVE,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5086603411, 43.6217266822)}"," (-79.5086603411, 43.6217266822)"
2008-12-21 1:06:55 AM,QUEEN ELIZABETH BLVD / CANMOTOR AVE,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5104959098, 43.6213926572)}"," (-79.5104959098, 43.6213926572)"
2008-12-12 4:22:46 AM,QUEEN ELIZABETH BLVD / CANMOTOR AVE,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5104959098, 43.6213926572)}"," (-79.5104959098, 43.6213926572)"
2008-12-12 4:22:46 AM,CANMOTOR AVE / CAVEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5109158865, 43.6223378645)}"," (-79.5109158865, 43.6223378645)"
2008-12-12 4:22:46 AM,QUEEN ELIZABETH BLVD / CANMOTOR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5114369659, 43.6236306763)}"," (-79.5114369659, 43.6236306763)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ROTHSAY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.51373946, 43.6238535406)}"," (-79.51373946, 43.6238535406)"
2008-12-12 4:22:46 AM,THURODALE AVE / RENFIELD ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4984588813, 43.7024042984)}"," (-79.4984588813, 43.7024042984)"
2008-12-12 4:22:46 AM,THURODALE AVE / CHISWICK AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4973571177, 43.7026515344)}"," (-79.4973571177, 43.7026515344)"
2008-12-12 4:22:46 AM,GLENARDEN RD / RIDGE HILL DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4338134558, 43.7019575052)}"," (-79.4338134558, 43.7019575052)"
2008-12-12 4:22:46 AM,TONY GRANDE LANE / FAIRLEIGH CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4384110842, 43.6984892344)}"," (-79.4384110842, 43.6984892344)"
2008-12-12 4:22:46 AM,OLD PARK RD / SHALLMAR BLVD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4323771785, 43.7031260656)}"," (-79.4323771785, 43.7031260656)"
2008-12-12 4:22:46 AM,OLD PARK RD / RIDGE HILL DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4320566447, 43.7023246897)}"," (-79.4320566447, 43.7023246897)"
2008-12-12 4:22:46 AM,HILLTOP RD / WEMBLEY RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4279618994, 43.701417968)}"," (-79.4279618994, 43.701417968)"
2008-12-12 4:22:46 AM,OLD FOREST HILL RD / HILLTOP RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4282979128, 43.7022567114)}"," (-79.4282979128, 43.7022567114)"
2008-12-12 4:22:46 AM,HILLTOP RD / RIDGE HILL DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4286381936, 43.7030621157)}"," (-79.4286381936, 43.7030621157)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / GARDINER C W ISLINGTON N RAMP / ISLINGTON S GARDINER C W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5144458595, 43.6229026262)}"," (-79.5144458595, 43.6229026262)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / THE QUEENSWAY,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5147838541, 43.6235922706)}"," (-79.5147838541, 43.6235922706)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / DORCHESTER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5179643269, 43.6228902276)}"," (-79.5179643269, 43.6228902276)"
2008-12-12 4:22:46 AM,STANMILLS RD / WARNICA AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.519334991, 43.6237254873)}"," (-79.519334991, 43.6237254873)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ST LAWRENCE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5190938652, 43.622643451)}"," (-79.5190938652, 43.622643451)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / WOOLGAR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5199570939, 43.6224421582)}"," (-79.5199570939, 43.6224421582)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / TRUEMAN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5231313161, 43.6217493339)}"," (-79.5231313161, 43.6217493339)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / VIBE RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5234791683, 43.6216770717)}"," (-79.5234791683, 43.6216770717)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / CULNAN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5242520944, 43.6215161182)}"," (-79.5242520944, 43.6215161182)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ZORRA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5223735204, 43.6219299629)}"," (-79.5223735204, 43.6219299629)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / NORDIN AVE / CAVEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5209821544, 43.6222460591)}"," (-79.5209821544, 43.6222460591)"
2008-12-12 4:22:46 AM,WARNICA AVE / BRAWLEY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5228014684, 43.6238586003)}"," (-79.5228014684, 43.6238586003)"
2008-12-12 4:22:46 AM,WARNICA AVE / TRUEMAN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5239006008, 43.6236204777)}"," (-79.5239006008, 43.6236204777)"
2008-12-12 4:22:46 AM,WARNICA AVE / NORDIN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.521668445, 43.624117629)}"," (-79.521668445, 43.624117629)"
2008-12-12 4:22:46 AM,WARNICA AVE / NORDIN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5217681847, 43.6240924332)}"," (-79.5217681847, 43.6240924332)"
2008-12-12 4:22:46 AM,WARNICA AVE / WOOLGAR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5207815533, 43.624311981)}"," (-79.5207815533, 43.624311981)"
2008-12-12 4:22:46 AM,WARNICA AVE / WOOLGAR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5205930021, 43.6243646913)}"," (-79.5205930021, 43.6243646913)"
2008-12-12 4:22:46 AM,NORDIN AVE / WOOLGAR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5211352042, 43.6256386957)}"," (-79.5211352042, 43.6256386957)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / EDGECROFT RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5164815844, 43.6276603654)}"," (-79.5164815844, 43.6276603654)"
2008-12-12 4:22:46 AM,RAMSBURY RD / NORDIN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5183141897, 43.6262559584)}"," (-79.5183141897, 43.6262559584)"
2008-12-12 4:22:46 AM,BRADBROOK RD / RAMSBURY RD / BRADFIELD AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5175678382, 43.625044253)}"," (-79.5175678382, 43.625044253)"
2008-12-12 4:22:46 AM,NORDIN AVE / CONOVER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5196444733, 43.6259794575)}"," (-79.5196444733, 43.6259794575)"
2008-12-12 4:22:46 AM,STANMILLS RD / CROWN CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5182839682, 43.6239717496)}"," (-79.5182839682, 43.6239717496)"
2008-12-12 4:22:46 AM,STANMILLS RD / RAMSBURY RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5172122408, 43.6242083649)}"," (-79.5172122408, 43.6242083649)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / STANMILLS RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5152208446, 43.6246551889)}"," (-79.5152208446, 43.6246551889)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / BRADBROOK RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5155609036, 43.6254934166)}"," (-79.5155609036, 43.6254934166)"
2008-12-12 4:22:46 AM,INVERNESS AVE / ROTHSAY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5144467731, 43.6254759291)}"," (-79.5144467731, 43.6254759291)"
2008-12-12 4:22:46 AM,ISLINGTON AVE / INVERNESS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5154519461, 43.625253364)}"," (-79.5154519461, 43.625253364)"
2008-12-12 4:22:46 AM,PARKER AVE / INVERNESS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5134681707, 43.6256912181)}"," (-79.5134681707, 43.6256912181)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / PARKER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5127828551, 43.6240883091)}"," (-79.5127828551, 43.6240883091)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / LADY BANK RD / CANMOTOR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5116895713, 43.6243411315)}"," (-79.5116895713, 43.6243411315)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / LOMA RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5088568875, 43.6249731135)}"," (-79.5088568875, 43.6249731135)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / PLASTICS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5099874909, 43.6247113045)}"," (-79.5099874909, 43.6247113045)"
2008-12-12 4:22:46 AM,LOMA RD / ROSEWOOD AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5091943756, 43.6257723482)}"," (-79.5091943756, 43.6257723482)"
2008-12-12 4:22:46 AM,LOMA RD / ROSEWOOD AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5086714498, 43.6259110197)}"," (-79.5086714498, 43.6259110197)"
2008-12-12 4:22:46 AM,ROSEWOOD AVE / ASHMORE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5097487919, 43.6256720267)}"," (-79.5097487919, 43.6256720267)"
2008-12-12 4:22:46 AM,CHARTWELL RD / ROSEWOOD AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5108637932, 43.6254208231)}"," (-79.5108637932, 43.6254208231)"
2008-12-12 4:22:46 AM,LADY BANK RD / INVERNESS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5123877584, 43.6259345671)}"," (-79.5123877584, 43.6259345671)"
