DATEEFFECTIVE,INTERSECTIONDESC,CLASSIFICATION,CLASSIFICATIONDESC,geometry,MODGEOMETRY
2008-12-12 4:22:46 AM,NUGENT RD / WARBECK PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5548837757, 43.6908352341)}"," (-79.5548837757, 43.6908352341)"
2008-12-12 4:22:46 AM,NUGENT RD / TYLER PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.55380992, 43.6910822182)}"," (-79.55380992, 43.6910822182)"
2008-12-12 4:22:46 AM,HAWTHORNE RD / LONGFELLOW RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5548939649, 43.6917789702)}"," (-79.5548939649, 43.6917789702)"
2008-12-12 4:22:46 AM,NORTHCREST RD / ACME CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5555355545, 43.6925712423)}"," (-79.5555355545, 43.6925712423)"
2008-12-12 4:22:46 AM,MARBLEHEAD RD / NORTHCREST RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5540253769, 43.6929015034)}"," (-79.5540253769, 43.6929015034)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / SHERWAY GARDENS RD / QUEENSWAY W BROWNS LINE RAMP / 427 C S QUEENSWAY RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.55226576, 43.6150684022)}"," (-79.55226576, 43.6150684022)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / NORTH QUEEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5561541412, 43.6142177427)}"," (-79.5561541412, 43.6142177427)"
2008-12-12 4:22:46 AM,SHERWAY GARDENS RD / GARDINER X W SHERWAY GARDENS RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5523463204, 43.6130889714)}"," (-79.5523463204, 43.6130889714)"
2008-12-12 4:22:46 AM,HILLTOP RD / SHALLMAR BLVD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.428958661, 43.703863456)}"," (-79.428958661, 43.703863456)"
2008-12-12 4:22:46 AM,MANITOU BLVD / ELM RIDGE DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4279176462, 43.7051539112)}"," (-79.4279176462, 43.7051539112)"
2008-12-12 4:22:46 AM,LAWNHURST BLVD / ELM RIDGE DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.430031045, 43.7047398246)}"," (-79.430031045, 43.7047398246)"
2008-12-12 4:22:46 AM,LAWNHURST BLVD / FOREST RIDGE DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.43032499, 43.7055170752)}"," (-79.43032499, 43.7055170752)"
2008-12-12 4:22:46 AM,OLD PARK RD / ELM RIDGE CRCL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.43264828, 43.7037692319)}"," (-79.43264828, 43.7037692319)"
2008-12-12 4:22:46 AM,ELM RIDGE CRCL / ELM RIDGE DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4322833199, 43.7042472991)}"," (-79.4322833199, 43.7042472991)"
2008-12-12 4:22:46 AM,OVERDALE RD / RIDELLE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4340824129, 43.7055975338)}"," (-79.4340824129, 43.7055975338)"
2008-12-12 4:22:46 AM,OLD PARK RD / RIDELLE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4329630666, 43.7058561015)}"," (-79.4329630666, 43.7058561015)"
2008-12-12 4:22:46 AM,OLD PARK RD / BRIAR HILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4332641869, 43.7065910696)}"," (-79.4332641869, 43.7065910696)"
2008-12-12 4:22:46 AM,CUMMER AVE / GERANIUM CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4025546876, 43.7902721452)}"," (-79.4025546876, 43.7902721452)"
2008-12-12 4:22:46 AM,EVANS AVE / EVANS BROWNS LI RAMP / 427 C S EVANS RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.549142955, 43.6106144532)}"," (-79.549142955, 43.6106144532)"
